15S_RRNA
21S_RRNA
AAC1
AAC3
AAH1
AAP1
AAT1
AAT2
ABD1
ABF1
ABF2
ABP1
ABP140
ABZ1
ABZ2
ACA1
ACB1
ACC1
ACE2
ACF2
ACH1
ACK1
ACL4
ACM1
ACO1
ACO2
ACP1
ACS1
ACS2
ACT1
ADA2
ADE1
ADE12
ADE13
ADE16
ADE17
ADE2
ADE3
ADE4
ADE5,7
ADE6
ADE8
ADF1
ADH1
ADH2
ADH3
ADH4
ADH5
ADI1
ADK1
ADK2
ADO1
ADP1
ADR1
ADY2
ADY4
AEP1
AFG1
AFG2
AFG3
AFR1
AFT1
AFT2
AGA1
AGA2
AGC1
AGE1
AGE2
AGP1
AGP2
AGP3
AGX1
AHA1
AHC1
AHP1
AI1
AI2
AI3
AI4
AI5_ALPHA
AIF1
AIM10
AIM14
AIM21
AIM22
AIM23
AIM25
AIM45
AIM7
AIP1
AIR1
AIR2
AKL1
AKR1
AKR2
ALA1
ALD2
ALD3
ALD4
ALD5
ALD6
ALE1
ALF1
ALG1
ALG11
ALG12
ALG13
ALG14
ALG2
ALG3
ALG5
ALG6
ALG7
ALG8
ALG9
ALK1
ALK2
ALO1
ALP1
ALR1
ALR2
ALT1
ALY1
ALY2
AMA1
AMD1
AMF1
AMN1
AMS1
ANB1
ANP1
ANT1
AOS1
APA1
APA2
APC1
APC11
APC2
APC4
APC5
APC9
APE1
APE2
APE3
APE4
APJ1
APL2
APL3
APL4
APL5
APM1
APM2
APM4
APN1
APN2
APP1
APT1
APT2
AQR1
AQY1
AQY2
AQY3
ARA1
ARA2
ARB1
ARC1
ARC15
ARC18
ARC19
ARC35
ARC40
ARD1
ARE1
ARE2
ARF1
ARF2
ARF3
ARG1
ARG2
ARG3
ARG4
ARG5,6
ARG7
ARG8
ARG80
ARG81
ARG82
ARH1
ARK1
ARL1
ARL3
ARN1
ARN2
ARO1
ARO10
ARO2
ARO3
ARO4
ARO7
ARO8
ARO80
ARO9
ARP1
ARP10
ARP2
ARP3
ARP4
ARP5
ARP6
ARP7
ARP8
ARR1
ARR2
ARR3
ART10
ART5
ASC1
ASE1
ASF1
ASG1
ASH1
ASI1
ASI3
ASK1
ASK10
ASM4
ASN1
ASN2
ASP1
ASP3-1
ASP3-2
ASP3-3
ASP3-4
ASR1
ATE1
ATF1
ATF2
ATG1
ATG11
ATG12
ATG13
ATG15
ATG16
ATG17
ATG18
ATG19
ATG2
ATG20
ATG21
ATG26
ATG27
ATG29
ATG3
ATG34
ATG38
ATG39
ATG40
ATG42
ATG5
ATG7
ATG8
ATH1
ATM1
ATO2
ATO3
ATP1
ATP10
ATP11
ATP12
ATP14
ATP15
ATP16
ATP17
ATP18
ATP19
ATP2
ATP20
ATP22
ATP3
ATP4
ATP5
ATP6
ATP7
ATP8
ATR1
ATR2
ATX1
ATX2
AUR1
AUS1
AVO1
AVT1
AVT2
AVT3
AVT4
AVT5
AVT6
AVT7
AXL1
AYR1
AZF1
AZR1
BAG7
BAP2
BAP3
BAR1
BAS1
BAT1
BAT2
BBC1
BBP1
BCD1
BCH1
BCK1
BCP1
BCS1
BCY1
BDF1
BDF2
BDH1
BDH2
BDP1
BEM1
BEM2
BEM3
BET1
BET2
BET3
BET4
BET5
BFA1
BFR1
BGL2
BI2
BI3
BI4
BIK1
BIM1
BIO2
BIO3
BIO4
BIO5
BLM10
BMH1
BMH2
BMS1
BMT5
BMT6
BNA1
BNA2
BNA3
BNA4
BNA5
BNA6
BNI1
BNI4
BNI5
BNR1
BOI1
BOI2
BOL2
BOR1
BOS1
BPH1
BPL1
BPT1
BRE1
BRE2
BRE5
BRF1
BRN1
BRO1
BRR1
BRR2
BRX1
BSC5
BSD2
BSP1
BST1
BTN2
BTS1
BTT1
BUB1
BUB2
BUB3
BUD14
BUD16
BUD17
BUD2
BUD20
BUD21
BUD23
BUD27
BUD3
BUD32
BUD4
BUD5
BUD6
BUL1
BUL2
BUR2
BUR6
BYE1
BZZ1
CAB1
CAB2
CAB3
CAB4
CAB5
CAC2
CAD1
CAF16
CAF20
CAK1
CAM1
CAN1
CAP1
CAP2
CAR1
CAR2
CAT2
CAT5
CAT8
CAX4
CBC2
CBF1
CBF2
CBF5
CBK1
CBP1
CBP2
CBP3
CBP6
CBR1
CBS1
CBS2
CCA1
CCC1
CCC2
CCE1
CCH1
CCL1
CCM1
CCP1
CCR4
CCS1
CCT2
CCT3
CCT4
CCT5
CCT6
CCT7
CCT8
CCW14
CCZ1
CDA1
CDC10
CDC11
CDC12
CDC123
CDC13
CDC14
CDC15
CDC16
CDC19
CDC20
CDC21
CDC23
CDC24
CDC25
CDC26
CDC27
CDC28
CDC3
CDC31
CDC33
CDC34
CDC37
CDC39
CDC4
CDC40
CDC42
CDC43
CDC45
CDC48
CDC5
CDC50
CDC53
CDC55
CDC6
CDC60
CDC65
CDC7
CDC73
CDC8
CDC9
CDD1
CDH1
CDS1
CEF1
CEG1
CEM1
CEP3
CET1
CEX1
CFD1
CFT1
CFT2
CHA1
CHA4
CHC1
CHD1
CHK1
CHL1
CHL4
CHO1
CHO2
CHS1
CHS2
CHS3
CHS5
CHS7
CHZ1
CIC1
CIK1
CIN10
CIN2
CIN4
CIN5
CIN8
CIP1
CIR2
CIS3
CIT1
CIT2
CIT3
CKA1
CKA2
CKB1
CKB2
CKI1
CKS1
CLA4
CLB1
CLB2
CLB3
CLB4
CLB5
CLB6
CLC1
CLD1
CLF1
CLG1
CLN1
CLN2
CLN3
CLP1
CLU1
CMC1
CMD1
CMK1
CMK2
CMP2
CMR1
CMR3
CNA1
CNB1
CNE1
CNM67
CNN1
CNS1
COA6
COB
COF1
COG1
COG3
COM2
COP1
COQ1
COQ10
COQ11
COQ2
COQ3
COQ5
COQ6
COQ8
COQ9
COR1
COS7
COT1
COX1
COX10
COX11
COX12
COX13
COX15
COX17
COX18
COX19
COX2
COX20
COX3
COX4
COX5A
COX5B
COX6
COX7
COX8
COX9
COY1
CPA1
CPA2
CPD1
CPR1
CPR2
CPR3
CPR4
CPR5
CPR6
CPR7
CPR8
CPS1
CPT1
CRC1
CRD1
CRF1
CRH1
CRM1
CRN1
CRP1
CRR1
CRS1
CRS5
