A0A087WT57
A0A087WWC5
A0A087WZV9
A0A087X0B3
A0A087X1B8
A0A0C4DFX4
A0A0G2JS52
A0A0J9YVX5
A0A0J9YYC4
A0A0J9YYD9
A0A0U1RQV5
A0A1B0GU22
A0A1B0GVI7
A0A1B0GVJ0
A0A1B0GW94
A0A1B0GWJ7
A0A1W2PPV4
A0A2R8YFB7
A0A2U3TZJ3
A0A3B3ISS9
A0A3B3IT50
A1CF
A2M
A2ML1
A3GALT2
A4GALT
A4GNT
AAAS
AACS
AADAC
AADAT
AAK1
AAMDC
AAMP
AANAT
AARS1
AARS2
AARSD1
AASDHPPT
AASS
AATF
ABAT
ABCA1
ABCA12
ABCA13
ABCA2
ABCA3
ABCA4
ABCA5
ABCA6
ABCA7
ABCA8
ABCA9
ABCB1
ABCB10
ABCB11
ABCB5
ABCB6
ABCB7
ABCB8
ABCB9
ABCC1
ABCC10
ABCC11
ABCC12
ABCC2
ABCC3
ABCC4
ABCC5
ABCC6
ABCC8
ABCC9
ABCD1
ABCD2
ABCD3
ABCD4
ABCE1
ABCF1
ABCG1
ABCG2
ABCG4
ABCG5
ABCG8
ABHD1
ABHD10
ABHD12
ABHD12B
ABHD14B
ABHD15
ABHD16A
ABHD16B
ABHD17A
ABHD17B
ABHD17C
ABHD2
ABHD3
ABHD4
ABHD5
ABHD6
ABHD8
ABI1
ABI2
ABI3
ABITRAM
ABL1
ABL2
ABLIM1
ABLIM2
ABLIM3
ABO
ABR
ABRA
ABRAXAS1
ABRAXAS2
ABT1
ACAA1
ACAA2
ACACA
ACACB
ACAD10
ACAD11
ACAD9
ACADL
ACADM
ACADS
ACADSB
ACADVL
ACAN
ACAP2
ACAT1
ACAT2
ACD
ACE
ACE2
ACER1
ACER2
ACER3
ACHE
ACIN1
ACKR1
ACKR2
ACKR3
ACKR4
ACLY
ACMSD
ACO1
ACO2
ACOD1
ACOT1
ACOT11
ACOT12
ACOT13
ACOT2
ACOT4
ACOT6
ACOT7
ACOT7L
ACOT8
ACOT9
ACOX1
ACOX2
ACOX3
ACOXL
ACP2
ACP3
ACP5
ACP6
ACR
ACSBG1
ACSBG2
ACSF2
ACSF3
ACSL3
ACSL4
ACSL5
ACSL6
ACSM1
ACSM2A
ACSM2B
ACSM3
ACSM4
ACSM5
ACSM6
ACSS1
ACSS2
ACSS3
ACTA1
ACTA2
ACTB
ACTBL2
ACTC1
ACTG1
ACTL6A
ACTL6B
ACTL8
ACTN1
ACTN2
ACTN3
ACTN4
ACTR10
ACTR1A
ACTR2
ACTR3
ACTR5
ACTR6
ACTR8
ACTRT1
ACVR1
ACVR1B
ACVR1C
ACVR2A
ACVR2B
ACVRL1
ADA
ADA2
ADAD1
ADAD2
ADAL
ADAM10
ADAM11
ADAM12
ADAM15
ADAM17
ADAM18
ADAM19
ADAM2
ADAM20
ADAM21
ADAM22
ADAM23
ADAM28
ADAM29
ADAM33
ADAM8
ADAM9
ADAMDEC1
ADAMTS1
ADAMTS10
ADAMTS12
ADAMTS13
ADAMTS14
ADAMTS15
ADAMTS16
ADAMTS17
ADAMTS18
ADAMTS19
ADAMTS2
ADAMTS20
ADAMTS3
ADAMTS4
ADAMTS5
ADAMTS6
ADAMTS7
ADAMTS8
ADAMTS9
ADAMTSL2
ADAMTSL3
ADAMTSL4
ADAP1
ADAP2
ADAR
ADARB1
ADARB2
ADAT2
ADCY1
ADCY10
ADCY2
ADCY3
ADCY4
ADCY5
ADCY6
ADCY7
ADCY8
ADCY9
ADCYAP1
ADCYAP1R1
ADD1
ADD2
ADD3
ADGRA1
ADGRA2
ADGRB1
ADGRB2
ADGRB3
ADGRD1
ADGRD2
ADGRE1
ADGRE2
ADGRE3
ADGRE4P
ADGRE5
ADGRG1
ADGRG2
ADGRG3
ADGRG4
ADGRG5
ADGRG6
ADGRG7
ADGRL1
ADGRL2
ADGRL3
ADGRL4
ADGRV1
ADH1A
ADH1B
ADH1C
ADH4
ADH5
ADH6
ADH7
ADHFE1
ADI1
ADIPOQ
ADIPOR1
ADIPOR2
ADIRF
ADK
ADM
ADM2
ADNP
ADORA1
ADORA2A
ADORA2B
ADPGK
ADPRH
ADPRS
ADRA1A
ADRA1B
ADRA1D
ADRA2A
ADRA2B
ADRA2C
ADRB1
ADRB2
ADRB3
ADRM1
ADSL
ADSS1
ADSS2
ADTRP
AEBP1
AEN
AFAP1L2
AFDN
AFF1
AFF2
AFF4
AFG1L
AFG3L2
AFM
AFMID
AFP
AFTPH
AGA
AGAP2
AGAP3
AGBL2
AGBL4
AGBL5
AGER
AGFG1
