geneSymbol	diseaseClass	diseaseClassLabel
KLF11	D064419	21
KLF12	D064419	21
KLF13	D005261	5
KLF14	D009750	14
KLF2	D012140	16
KLF4	D002318	1
KLF5	D013568	17
KLF6	D009369	12
KLF9	D002318	1
KLHL7	D005128	4
KLK1	D013568	17
KLK3	D052801	20
KLKB1	D006425	6
KLRB1	D009369	12
KLRK1	D009369	12
KMT2A	D009369	12
KMT2B	D009422	13
KMT2C	D009369	12
KMT2D	D009369	12
KMT2E	D009369	12
KNG1	D006425	6
KNSTRN	D009369	12
KPNA3	D064419	21
KRAS	D009369	12
KRT1	D009369	12
KRT10	D017437	19
KRT14	D009369	12
KRT15	D009369	12
KRT17	D009369	12
KRT18	D004066	2
KRT19	D004066	2
KRT2	D017437	19
KRT20	D009369	12
KRT25	D017437	19
KRT4	D017437	19
KRT5	D009369	12
KRT6B	D009369	12
KRT71	D017437	19
KRT74	D017437	19
KYAT1	D009369	12
KYNU	D009422	13
L2HGDH	D009422	13
L3MBTL2	D009369	12
L3MBTL3	D009369	12
LAMA1	D004066	2
LAMA2	D005128	4
LAMA3	D017437	19
LAMA4	D005261	5
LAMB1	D012140	16
LAMC1	D002318	1
LAMC2	D013568	17
LAMC3	D009422	13
LAMP2	D002318	1
LAMTOR2	D007154	7
LAMTOR5	D009750	14
LARGE1	D064419	21
LAT	D004066	2
LATS1	D009369	12
LATS2	D009369	12
LBP	D009750	14
LCA5	D009358	11
LCAT	D009750	14
LCN2	D009750	14
LCORL	D013568	17
LCP1	D064419	21
LDB3	D002318	1
LDHA	D002318	1
LDLR	D004066	2
LDLRAP1	D009750	14
LEFTY2	D009358	11
LEP	D064419	21
LEPR	D013568	17
LETM1	D009358	11
LFNG	D009140	10
LGALS3	D005261	5
LGALS7	D009369	12
LGR6	D009369	12
LHB	D004700	3
LHCGR	D004700	3
LHX1	D005261	5
LIF	D005261	5
LIG4	D009369	12
LILRA1	D064419	21
LIMCH1	D064419	21
LIN28A	D009369	12
LIN28B	D009369	12
LIN7A	D009369	12
LIPA	D002318	1
LIPC	D009750	14
LIPH	D017437	19
LIPI	D009750	14
LMAN2L	D009422	13
LMCD1	D002318	1
LMNA	D017437	19
LMO1	D009369	12
LMOD1	D002318	1
LMX1B	D009750	14
LONP1	D009750	14
LORICRIN	D009369	12
LOX	D009057	9
LOXL1	D005128	4
LPA	D002318	1
LPAR1	D009369	12
LPGAT1	D013568	17
LPL	D009750	14
LPP	D009369	12
LRAT	D009358	11
LRP1	D009422	13
LRP2	D009750	14
LRP5	D005128	4
LRP8	D013568	17
LRPAP1	D005128	4
LRPPRC	D009750	14
LRRC59	D009369	12
LRRC7	D064419	21
LRRK2	D009422	13
LSS	D007239	8
LTA	D002318	1
LTA4H	D002318	1
LTB4R	D004066	2
LTBP2	D005128	4
LTBP3	D002318	1
LTBP4	D009369	12
LTBR	D007239	8
LTF	D013568	17
LY96	D009369	12
LYL1	D006425	6
LYRM7	D009750	14
LYST	D009422	13
LZTFL1	D005128	4
LZTR1	D009369	12
M6PR	D013568	17
MACIR	D009369	12
MACO1	D009750	14
MACROD2	D064419	21
MAD2L2	D006425	6
MADCAM1	D004066	2
MAF	D005128	4
MAFB	D009140	10
MAFG	D004066	2
MAGEA1	D009369	12
MAGEC1	D009369	12
MAGED4	D009369	12
MAGEE1	D004066	2
