geneSymbol	diseaseClass	diseaseClassLabel
PTPRF	D017437	19
PTPRJ	D006425	6
PTPRK	D009369	12
PTPRO	D009369	12
PTPRT	D009369	12
PTPRZ1	D007239	8
PTTG1	D017437	19
PTX3	D012140	16
PUF60	D013568	17
PURA	D009422	13
PUS1	D013568	17
PVR	D009369	12
PXDN	D009369	12
PYCARD	D009750	14
PYGB	D002318	1
PYY	D009422	13
QKI	D009369	12
QPCT	D009369	12
QSOX1	D064419	21
RAB11A	D017437	19
RAB12	D002318	1
RAB1B	D002318	1
RAB32	D007239	8
RAB39B	D009422	13
RAB3A	D009369	12
RAB5A	D002318	1
RAB7A	D002318	1
RAB7B	D002318	1
RAC1	D002318	1
RAC2	D009369	12
RACK1	D009369	12
RAD21	D009369	12
RAD23A	D013568	17
RAD51	D006425	6
