Gene_1	Gene_2	Expression_Value
S000005622	S000005589	1.37566254
S000001131	S000003115	1.11804497
S000003259	S000005011	1.52606033
S000005837	S000006306	1.21277861
S000001246	S000002288	1.21239741
S000005708	S000006247	1.18321009
S000005160	S000004035	1.11730467
S000002999	S000005040	1.36664202
S000001401	S000004200	1.21900261
S000005153	S000002998	1.18679136
S000001410	S000001007	1.32527545
S000003084	S000004306	1.2753948
S000000003	S000005481	1.18565722
S000001765	S000001331	1.68549188
S000003713	S000003266	1.6430236
S000002432	S000001246	1.19060584
S000003446	S000002826	1.7273051
S000003925	S000003723	1.13369122
S000001314	S000006247	1.6926748
S000005153	S000003380	1.13034625
S000005659	S000006306	1.13085301
S000003317	S000000235	1.14106426
S000005153	S000005481	1.22199713
S000000876	S000006141	1.35655972
S000003259	S000002855	1.27929531
S000002879	S000003115	1.4524497
S000005896	S000005011	1.19853565
S000000214	S000000098	1.38761028
S000006000	S000001063	1.21510017
S000003968	S000003266	1.62811816
S000003725	S000004157	1.20658824
S000006119	S000006052	1.56855007
S000006119	S000005839	1.51557083
S000001410	S000005480	1.23209255
S000006345	S000002520	1.28271504
S000002998	S000000780	1.35140198
S000000168	S000005589	1.2895098
S000003157	S000003317	1.91757727
S000002661	S000005735	1.24360531
S000006011	S000005246	1.46818468
S000005621	S000001664	1.12559217
S000003860	S000004092	1.23451887
S000003727	S000003446	1.60250707
S000004325	S000001052	1.14948404
S000005958	S000005487	1.46918422
S000003906	S000003103	1.46630859
S000003703	S000001635	1.40219094
S000001259	S000005191	1.11443257
S000001486	S000004880	1.27829592
S000005760	S000000235	1.11801787
S000003726	S000003266	1.27443532
S000004157	S000004065	1.50170793
S000002879	S000002471	1.27082773
S000001802	S000005246	1.24871786
S000000904	S000004359	1.18219452
S000003884	S000003103	1.61685263
S000001246	S000002826	2.05503249
S000006002	S000005839	1.25434931
S000000183	S000004728	1.15727706
S000002240	S000002233	1.33938299
S000002219	S000003071	1.41372676
S000004957	S000003713	1.15140719
S000002240	S000005480	1.52810879
S000006000	S000005487	1.29364702
S000003130	S000001919	1.25612598
S000003044	S000005839	1.41556807
S000001395	S000004332	1.34309746
S000002998	S000005011	1.33910021
S000003091	S000000235	1.29643082
S000001564	S000001061	1.37360454
S000001183	S000001236	1.11345408
S000003701	S000002536	1.51359147
S000004957	S000004065	1.25969579
S000000213	S000000098	1.43469665
S000004957	S000004051	1.13516937
S000003380	S000002240	1.38637972
S000001410	S000003266	1.50655238
S000005487	S000005802	1.1743786
S000002240	S000004051	1.52464165
S000005245	S000004065	1.63899711
S000006002	S000001063	1.17261057
S000006052	S000002999	1.46999971
S000002998	S000004440	1.32418739
S000005693	S000001246	1.21328066
S000005106	S000005487	1.30519123
S000003259	S000005122	1.40693763
S000002730	S000004880	1.17655969
S000006043	S000003769	1.1280975
S000005070	S000005559	1.10949692
S000005693	S000005246	1.11094734
S000003725	S000002999	1.31551293
S000001489	S000001063	1.23841832
S000004038	S000004528	1.36421706
S000006002	S000000876	1.35188487
S000000168	S000003380	1.18422674
S000003727	S000006011	1.16727666
S000003674	S000000876	1.24885193
S000003139	S000003137	1.25733106
S000001395	S000000235	1.2801485
S000001421	S000000399	1.18934419
S000004530	S000005163	1.15964733
S000005153	S000004157	1.1061522
S000001489	S000001052	1.31758443
S000003674	S000005400	1.42199325
S000006119	S000006000	1.50212141
S000002790	S000002288	1.22403167
S000003726	S000003115	1.16831609
S000005013	S000001063	1.1656397
S000003599	S000000776	1.17115207
S000003157	S000002790	1.13463247
S000006052	S000005246	1.68051322
S000002879	S000005802	1.26619435
S000000933	S000001489	1.58341743
S000000036	S000003713	1.13077318
S000001765	S000002240	1.67388551
S000003380	S000004855	1.18505642
S000005708	S000001331	1.26903004
S000006002	S000005122	1.57070656
S000004359	S000006002	1.25408634
S000003157	S000005106	1.37149758
S000000003	S000004065	1.21396205
S000003672	S000001236	1.1558686
S000004351	S000005481	1.13535016
S000003350	S000002471	1.24898135
S000003925	S000005256	1.14829057
S000003884	S000005802	1.15295551
S000003259	S000000627	1.15791078
S000000904	S000005589	1.54830325
S000004187	S000004433	1.17507066
S000000123	S000000780	1.2791563
S000002908	S000002879	1.20354231
S000006002	S000002471	1.37571218
S000005122	S000001280	1.63534932
S000004124	S000004034	1.42356599
S000000065	S000004305	1.1731121
S000003588	S000004688	1.13131168
S000004412	S000002634	1.23751961
S000003446	S000001280	1.75532538
S000003727	S000004019	1.13175766
S000003906	S000000933	1.7884433
S000004187	S000004528	1.20275706
S000002536	S000002481	1.32187627
S000001097	S000001095	2.60967649
S000002520	S000003588	1.25259511
S000003380	S000004051	1.30271831
S000003906	S000003071	1.70248769
S000001401	S000005559	1.38431805
S000005040	S000005802	1.13291784
S000001489	S000003103	1.5460095
S000003317	S000001052	1.34372413
S000005708	S000000123	1.10984249
S000005481	S000003884	1.63198015
S000005958	S000004433	1.22603668
S000002908	S000004380	1.37949394
S000003016	S000003538	1.32946863
S000004530	S000004200	1.40957504
S000003674	S000003727	1.12764649
S000004187	S000002826	1.1688128
S000004092	S000004210	1.32212641
S000005621	S000004187	1.14555917
S000004530	S000004035	1.59278639
S000003044	S000001280	1.6723348
S000004440	S000006306	1.37279631
S000004038	S000000780	1.75896329
S000002219	S000004157	1.54715876
S000004325	S000005400	1.4966045
S000004380	S000004051	1.433141
S000004051	S000002471	1.4749803
S000003446	S000003380	1.38828108
S000002156	S000004051	1.33132599
S000006002	S000002826	1.49302557
S000003044	S000004336	1.30126237
S000004325	S000001331	1.38336993
S000004157	S000002999	1.85896433
S000001246	S000006336	1.42713668
S000002826	S000001007	1.90178151
S000005819	S000006000	1.42396131
S000003906	S000000780	1.39976314
S000003317	S000006141	1.41447112
S000003380	S000002471	1.36737717
S000004306	S000002536	1.11856191
S000003906	S000004332	1.17188847
S000003713	S000002879	1.53701169
S000003380	S000003071	1.3510716
S000005760	S000002790	1.15510214
S000001410	S000000123	1.43280998
S000006119	S000001052	1.35352833
S000001802	S000006000	1.21577277
S000001492	S000003968	1.11176443
S000004187	S000003674	1.10839402
S000005839	S000003091	1.31809057
S000001765	S000005122	1.4715403
S000004830	S000000325	1.23154431
S000002562	S000003424	1.10318812
S000005693	S000000876	1.18196385
S000000385	S000005480	1.41420815
S000005958	S000004380	1.10550196
S000003727	S000003157	1.15409961
S000006011	S000002879	1.48957019
S000001765	S000003350	1.66473061
S000002793	S000003071	1.16781848
S000001246	S000001314	1.68404123
S000005011	S000006247	1.55198763
S000003103	S000002288	1.19369282
S000000559	S000000135	1.13187035
S000001421	S000002314	1.21386167
S000004325	S000006119	1.48087293
S000005760	S000003157	1.6172055
S000001314	S000003071	1.58712912
S000000003	S000000168	1.25392127
S000000123	S000006247	1.43245454
S000002826	S000001395	1.56075952
S000005122	S000005487	1.61693143
S000000919	S000002239	1.27660218
S000000205	S000000904	1.11719823
S000002471	S000002419	1.10354344
S000005153	S000003115	1.20444727
S000006002	S000004855	1.18884567
S000003259	S000001802	1.38664851
S000005040	S000003103	1.29027478
S000005760	S000004528	1.83229622
S000000235	S000002239	1.3716937
S000005400	S000002233	1.15085197
S000003259	S000006011	1.21856178
S000002219	S000006141	1.51355424
S000005481	S000003103	1.40934374
S000000876	S000005122	1.61335301
S000003804	S000003610	1.18541706
S000003350	S000004051	1.31694551
S000004325	S000002239	1.26276496
S000005499	S000004754	1.12476722
S000006119	S000001246	1.83455254
S000005321	S000000135	1.11469154
S000004332	S000002239	1.46175699
S000006315	S000005430	1.11450293
S000004440	S000005839	1.4001332
S000004175	S000000933	1.37293935
S000001213	S000003744	1.14443716
S000000905	S000000004	1.18932359
S000005399	S000001063	1.10585256
S000005122	S000005013	1.67611333
S000005246	S000002239	1.39251663
S000002432	S000005040	1.17098293
S000005169	S000002520	1.2005764
S000003674	S000001052	1.17168723
S000000933	S000005589	1.44148845
S000003424	S000003769	2.17726236
S000000876	S000002790	1.36451313
S000004019	S000004440	1.29320204
S000003727	S000005245	1.43974053
S000005245	S000005400	1.78273015
S000002826	S000002879	1.43460327
S000000123	S000006306	1.62689783
S000000003	S000004038	1.32315697
S000004019	S000004065	1.36880895
S000005693	S000001007	1.16266151
S000003672	S000005013	1.29255778
S000003726	S000002233	1.18712227
S000002826	S000003071	1.94603909
S000000195	S000003882	1.46562107
S000004440	S000000933	1.48144107
S000004380	S000003071	1.32482314
S000000605	S000003319	1.19867852
S000000395	S000004728	1.28425002
S000003726	S000001314	1.20578343
S000005958	S000005400	1.33440795
S000005595	S000003260	1.1985548
S000002855	S000000123	1.18637089
S000006064	S000002288	1.13494896
S000004157	S000005245	1.18618379
S000004433	S000005487	1.53976258
S000002826	S000001639	1.13783687
S000001395	S000003350	1.44897699
S000001525	S000000595	1.24673338
S000005839	S000006141	1.23438858
S000000168	S000002240	1.34293641
S000003157	S000003380	1.69151778
S000000933	S000004528	1.95923989
S000003380	S000000780	1.13516208
S000000933	S000001183	1.6150253
S000004380	S000004325	1.56421324
S000002219	S000005106	1.28675646
S000003906	S000002790	1.37455547
S000005245	S000001395	1.48228452
S000004325	S000000780	1.11373748
S000006187	S000005085	1.20303302
S000004732	S000004306	1.21401056
S000005659	S000000235	1.36147911
S000005622	S000001280	1.58881889
S000003017	S000005667	1.10256789
S000004855	S000005480	1.26068825
S000005400	S000005589	1.93884253
S000000876	S000005760	1.67137547
S000001213	S000000451	1.23388523
S000001213	S000003999	1.31890851
S000000385	S000001280	1.57141013
S000001007	S000006000	1.43403367
S000001131	S000003674	1.12748355
S000005559	S000000605	1.20742338
S000002240	S000006064	1.53991582
S000002314	S000005163	1.20712466
S000005487	S000004336	1.13276572
S000004380	S000004317	1.53214751
S000001213	S000003088	1.37362233
S000000876	S000004162	1.12282468
S000005013	S000004051	1.68705738
S000005245	S000005246	1.53417115
S000001061	S000001280	1.25801482
S000005760	S000005246	1.473268
S000005837	S000001492	1.3051775
S000004440	S000005481	1.75991975
S000003725	S000005589	1.15883804
S000005839	S000000919	1.36865726
S000000876	S000005011	1.40340597
S000005246	S000004336	1.23963087
S000001410	S000004317	1.31869691
S000005481	S000001183	1.54898496
S000001331	S000002471	1.49791634
S000005499	S000006000	1.11063884
S000002156	S000005245	1.31697269
S000004380	S000003091	1.29424988
S000001767	S000001410	1.13170757
S000003672	S000005760	1.57094064
S000005896	S000001052	1.33087853
S000003906	S000004336	1.25468771
S000000123	S000003446	1.35740671
S000005622	S000004528	1.67002817
S000004019	S000003317	1.44440408
S000005013	S000003115	1.46209608
S000000876	S000001639	1.20647109
S000003446	S000006306	1.34508719
S000000385	S000003380	1.6368892
S000002908	S000003259	1.13802191
S000004093	S000002259	1.11083564
S000006141	S000003115	1.51712653
S000003391	S000003088	1.29535972
S000001280	S000004065	1.79762684
S000003725	S000004051	1.19241065
S000005693	S000006306	1.30612046
S000001410	S000002239	1.19272308
S000003044	S000002239	1.26280196
S000005400	S000000933	1.70217465
S000005896	S000004065	1.43033003
S000004440	S000005013	1.51971857
S000000933	S000004317	1.71328138
S000004325	S000005839	1.33027533
S000004065	S000003115	1.60003534
S000005958	S000003380	1.14778005
S000002858	S000003726	1.13467051
S000005153	S000003968	1.35635115
S000005487	S000002239	1.273166
S000004440	S000005819	1.28345545
S000004019	S000005040	1.23442254
S000005693	S000006247	1.1684896
S000004019	S000002240	1.41687917
S000004359	S000004317	1.32735763
S000000168	S000003446	1.44694772
S000004359	S000000919	1.32815469
S000005487	S000005589	1.49259158
S000000904	S000005480	1.32064053
S000001924	S000002525	1.33546435
S000001765	S000003713	1.33393583
S000003588	S000001543	1.38221649
S000004034	S000002793	1.24455978
S000002241	S000003157	1.24906817
S000001767	S000005589	1.48178691
S000004051	S000005480	1.61222931
S000004855	S000000627	1.21257834
S000003727	S000000123	1.1313751
S000002671	S000000595	1.35918448
S000002793	S000000627	1.23882771
S000002219	S000005481	1.53018214
S000002241	S000003103	1.21928723
S000002908	S000003446	1.20505282
S000003446	S000002233	1.24466221
S000002999	S000001063	1.18339345
S000005480	S000002790	1.63833955
S000005958	S000005622	1.17045105
S000005481	S000006247	1.68128752
S000005499	S000002855	1.20485129
S000004157	S000006247	1.33024945
S000000385	S000001236	1.18110876
S000000168	S000003157	1.24663631
S000000168	S000002998	1.20848073
S000002241	S000005708	1.12508935
S000001314	S000002466	1.13288709
S000004440	S000006247	1.4871707
S000005192	S000003088	1.47511613
S000001401	S000002739	1.12928558
S000000123	S000005481	1.65136613
S000001802	S000006002	1.22886724
S000005896	S000003380	1.27996356
S000003446	S000003713	1.69146977
S000003044	S000005622	1.48792517
S000006247	S000002790	1.2940062
S000004440	S000003317	1.45306085
S000005040	S000006247	1.22926178
S000004440	S000005106	1.23899724
S000003674	S000001331	1.25666714
S000001664	S000004925	1.11145847
S000001924	S000003148	1.13248336
S000004157	S000001007	1.43922171
S000003672	S000003884	1.4017913
S000001410	S000004433	1.24361381
S000001395	S000000627	1.37135298
S000003266	S000006000	1.35671483
S000004187	S000005802	1.15368856
S000004325	S000000123	1.49335567
S000002255	S000000814	1.10180685
S000001280	S000005589	1.68972741
S000005622	S000005399	1.30410271
S000001765	S000006000	1.38052594
S000006002	S000003884	1.38670757
S000002632	S000000098	1.30607451
S000003726	S000002998	1.11263752
S000004124	S000003319	1.29471371
S000002156	S000001246	1.53968969
S000004380	S000003906	1.3528781
S000006011	S000005400	1.36645469
S000004038	S000005480	1.76596531
S000004092	S000002525	1.26039789
S000003130	S000001401	1.10920567
S000003331	S000002946	1.18549193
S000005192	S000003744	1.15493023
S000005196	S000000667	1.10178551
S000001003	S000003674	1.11481387
S000002241	S000006000	1.19522649
S000004976	S000004975	1.70829677
S000001131	S000005837	1.25866512
S000001007	S000003115	1.60568268
S000001246	S000004433	1.60847664
S000000854	S000004714	1.15710669
S000003672	S000006052	1.29883834
S000004175	S000003380	1.69212609
S000005245	S000000235	1.30552527
S000005122	S000002471	1.30727586
S000006064	S000005589	1.47983694
S000004038	S000004051	1.64271187
S000000168	S000003713	1.38483765
S000001314	S000003091	1.51837529
S000006391	S000006119	1.19067977
S000004038	S000005040	1.27462696
S000000559	S000003931	1.20942125
S000005245	S000003115	1.38605524
S000006187	S000001213	1.15536085
S000001410	S000002999	1.45988945
S000006119	S000006141	1.63456357
S000003084	S000004603	1.43431213
S000005153	S000006119	1.24089304
S000003701	S000001495	1.11935962
S000004306	S000005595	1.11067299
S000004019	S000003446	1.27795828
S000003725	S000003968	1.26062824
S000004157	S000000919	1.14280891
S000000123	S000002999	1.57616811
S000000385	S000005040	1.5125433
S000006141	S000004332	1.46936107
S000003672	S000005122	1.39263395
S000001131	S000003071	1.10122722
S000004528	S000001489	1.75045793
S000004574	S000001025	1.12010399
S000001061	S000005589	1.42492815
S000000168	S000003884	1.566435
S000004528	S000006141	1.52548567
S000000325	S000004239	1.11307774
S000000205	S000005481	1.14397446
S000005708	S000006336	1.14650669
S000005245	S000006052	1.68979148
S000001007	S000001063	1.10216747
S000005958	S000002156	1.19450941
S000001061	S000006011	1.11066387
S000005708	S000001183	1.18414397
S000004380	S000004528	1.68287325
S000000123	S000003968	1.60602328
S000004038	S000004317	1.21384111
S000006018	S000006025	1.1499713
S000002156	S000003103	1.20735094
S000001486	S000006370	1.11480128
S000000595	S000002314	1.16554975
S000004157	S000006064	1.24336782
S000005400	S000006064	1.60765296
S000004325	S000002156	1.50765774
S000005760	S000001639	1.40020744
S000004855	S000005246	1.55658927
S000004019	S000003157	1.38261625
S000004380	S000003713	1.45049983
S000003674	S000004380	1.22434749
S000001061	S000001246	1.27100215
S000005605	S000006278	1.16150842
S000006391	S000001639	1.21785607
S000003044	S000005040	1.27304917
S000002156	S000002999	1.61794411
S000003726	S000002471	1.16924113
S000003726	S000003071	1.17118741
S000003044	S000002826	1.74770447
S000003726	S000001007	1.15414388
S000002998	S000001007	1.67377267
S000002585	S000003964	1.3286831
S000004175	S000002471	1.41515197
S000005245	S000003350	1.30320836
S000006011	S000006336	1.28329636
S000003091	S000001052	1.37670326
S000005245	S000005011	1.40760849
S000001765	S000001183	1.50974384
S000004034	S000000235	1.10875089
S000004325	S000005011	1.66464589
S000004380	S000004855	1.23102103
S000001767	S000003968	1.46269849
S000006064	S000000188	1.13930512
S000003115	S000005802	1.27094921
S000000904	S000000168	1.39402759
S000006119	S000005819	1.47653358
S000000876	S000004317	1.41931629
S000000003	S000005246	1.17435334
S000005399	S000002419	1.54794184
S000001410	S000003115	1.33853708
S000001401	S000001932	1.22493573
S000001628	S000003538	1.14043162
S000003906	S000001314	1.61999559
S000003727	S000004359	1.12056655
S000005621	S000005246	1.1377662
S000005245	S000004855	1.30938924
S000005122	S000004065	2.01309155
S000001410	S000001183	1.53422627
S000005896	S000001183	1.33329263
S000004206	S000000905	1.1498197
S000005013	S000004332	1.43722109
S000002240	S000004855	1.38202679
S000004317	S000000919	1.28450733
S000002826	S000004336	1.32772192
S000004187	S000001767	1.1222303
S000003446	S000006247	1.41800656
S000004325	S000000385	1.53006537
S000003446	S000004332	1.56177819
S000005153	S000006011	1.14458812
S000001765	S000003968	1.64035247
S000003091	S000002419	1.37243607
S000002998	S000002419	1.19658852
S000002879	S000005399	1.11482038
S000003317	S000001236	1.45341191
S000004035	S000006315	1.16312926
S000002219	S000005245	1.38910137
S000005481	S000001395	1.67388801
S000002432	S000002233	1.27663962
S000005839	S000002790	1.19069876
S000003436	S000003769	1.23935843
S000003266	S000004336	1.24010676
S000004957	S000006052	1.18064886
S000006052	S000004051	1.69454949
S000000168	S000003350	1.21759375
S000005106	S000003103	1.40562349
S000005621	S000006119	1.12741475
S000003999	S000001732	1.32995335
S000004574	S000003674	1.12839751
S000005499	S000006336	1.31216586
S000004380	S000005246	1.47235142
S000003115	S000002288	1.10309273
S000004530	S000001057	1.30024196
S000005013	S000003317	1.52910428
S000004187	S000003103	1.09885601
S000005246	S000001052	1.5315186
S000006011	S000006119	1.40584935
S000001767	S000003259	1.12056497
S000002520	S000006278	1.10731634
S000002998	S000005802	1.22938717
S000002240	S000005589	1.44878833
S000003927	S000002739	1.13570495
S000001532	S000003769	1.13190882
S000004317	S000005246	1.61002689
S000002855	S000006306	1.38537978
S000005819	S000000780	1.36951222
S000004157	S000003713	1.25549947
S000004351	S000004688	1.1522905
S000006011	S000001280	1.58392014
S000000904	S000003672	1.14594881
S000001919	S000001505	1.10287155
S000001765	S000003071	1.2661777
S000006391	S000005693	1.12873233
S000005481	S000005819	1.46091415
S000002858	S000004019	1.15159035
S000000780	S000004332	1.37194491
S000003436	S000003806	1.13597889
S000001628	S000006312	1.22057248
S000004380	S000002790	1.16750095
S000006011	S000003884	1.67799645
S000004019	S000005013	1.19904497
S000000180	S000000249	1.27505478
S000005839	S000002288	1.2282588
S000003999	S000006306	1.12836189
S000003884	S000000919	1.46539359
S000001767	S000000876	1.12226376
S000000168	S000001052	1.51269677
S000004019	S000002855	1.18563214
S000003725	S000000933	1.39218171
S000003725	S000006000	1.16948002
S000006336	S000001183	1.37438863
S000003446	S000005106	1.42652492
S000003932	S000000667	1.14506648
S000003727	S000002826	1.43770238
S000004157	S000006002	1.39754025
S000000919	S000002288	1.1524051
S000002219	S000005896	1.2927741
S000004157	S000005487	1.31057148
S000004157	S000002156	1.37190472
S000005708	S000002855	1.25729015
S000002156	S000004336	1.09933028
S000003727	S000000876	1.33303927
S000005400	S000003317	1.67397432
S000002879	S000003103	1.41506277
S000004038	S000006336	1.16801286
S000005622	S000005013	1.56630823
S000001767	S000002471	1.15372206
S000001246	S000006052	1.88299289
S000002826	S000004433	1.50310361
S000000385	S000003968	1.774556
S000002241	S000003115	1.24381473
S000001410	S000004855	1.11257304
S000004038	S000003071	1.56078099
S000004038	S000006247	1.32883012
S000002671	S000004200	1.26115441
S000003727	S000002419	1.16466067
S000000780	S000002466	1.11380734
S000000919	S000005191	1.15323903
S000001767	S000001489	1.21031566
S000001802	S000005802	1.18849337
S000000325	S000000168	1.16694496
S000003472	S000003170	1.13202339
S000000385	S000003266	1.51408587
S000002998	S000001183	1.37275407
S000002241	S000002826	1.16322696
S000003672	S000002240	1.37621604
S000004528	S000001236	1.41935116
S000002793	S000003727	1.16695731
S000001314	S000001183	1.83018624
S000003968	S000005839	1.50992385
S000001131	S000000123	1.10347184
S000005013	S000000780	1.51255636
S000000003	S000001489	1.20128711
S000005693	S000004317	1.30862974
S000004359	S000004175	1.17231756
S000005693	S000003672	1.24386738
S000002240	S000000627	1.24842327
S000004440	S000004162	1.14684174
S000003726	S000002826	1.22697268
S000005400	S000002826	2.19419327
S000001314	S000006141	1.50974649
S000005760	S000001246	1.65228022
S000005896	S000000919	1.34693857
S000006119	S000005011	1.56186056
S000005693	S000006000	1.23805331
S000005819	S000000627	1.15415982
S000002219	S000003350	1.50529445
S000001767	S000006306	1.24009914
S000001007	S000005802	1.41727418
S000004380	S000005480	1.4362107
S000000003	S000000933	1.14177763
S000002241	S000002471	1.11028829
S000005622	S000006064	1.60150494
S000005153	S000004019	1.12588009
S000001183	S000005246	1.62759831
S000001767	S000003906	1.24140956
S000003317	S000005106	1.34953233
S000006306	S000005839	1.43877781
S000005122	S000004317	1.61450374
S000005262	S000005559	1.48181817
S000000780	S000002471	1.36919237
S000005622	S000004855	1.4956058
S000002858	S000002908	1.10774366
S000004038	S000006052	1.54406378
S000000168	S000003317	1.33446693
S000004254	S000004440	1.14197237
S000006314	S000003931	1.20354458
S000000385	S000000627	1.19422929
S000005153	S000001246	1.4033298
S000003884	S000006052	1.64670918
S000002156	S000005040	1.2560959
S000005122	S000006052	1.85010231
S000002908	S000004317	1.13736672
S000005622	S000000188	1.19180968
S000005481	S000005802	1.3798281
S000000385	S000004065	1.69165325
S000006336	S000005589	1.16934999
S000006064	S000002233	1.27509895
S000002793	S000006064	1.16499981
S000003044	S000005480	1.63810805
S000003157	S000000919	1.32616327
S000004325	S000006064	1.38353616
S000000003	S000005122	1.15677131
S000000003	S000005106	1.11364235
S000003672	S000005487	1.30347265
S000006247	S000004855	1.2124074
S000002826	S000005040	1.33003271
S000003906	S000005400	1.68514763
S000005013	S000005839	1.38277041
S000005958	S000003725	1.1979528
S000001924	S000002314	1.10575853
S000006002	S000005245	1.32308583
S000004359	S000002879	1.35912277
S000001246	S000006141	1.63664423
S000004351	S000005122	1.20740677
S000003380	S000001052	1.13802446
S000004065	S000000780	1.40708772
S000003726	S000003157	1.13051036
S000002974	S000005874	1.14726434
S000005153	S000004359	1.18123043
S000004187	S000002156	1.26513371
S000004433	S000004855	1.31214308
S000001765	S000002471	1.43168825
S000002432	S000005589	1.16741628
S000002879	S000000919	1.48418865
S000001767	S000004284	1.34413767
S000004359	S000003266	1.28467957
S000002999	S000002240	1.53537039
S000000933	S000005480	1.44278318
S000004175	S000005802	1.33837604
S000006002	S000005819	1.42650258
S000005169	S000005667	1.17981258
S000002520	S000002313	1.10583317
S000004574	S000004254	1.42672673
S000001664	S000003391	1.1518553
S000005481	S000005487	1.62409408
S000004317	S000001639	1.13244316
S000004325	S000001236	1.29078672
S000003044	S000001314	1.53607315
S000005245	S000001331	1.53066507
S000000205	S000005246	1.12513938
S000005040	S000003091	1.20422119
S000001451	S000005192	1.38925488
S000000123	S000005622	1.39475483
S000000123	S000001314	1.64036726
S000005499	S000004175	1.15475727
S000005896	S000002998	1.33685512
S000005559	S000001525	1.55356572
S000002879	S000005040	1.50453786
S000001410	S000005481	1.41021383
S000005622	S000006052	1.46425231
S000004855	S000002790	1.19896498
S000004051	S000001639	1.22948623
S000002855	S000003157	1.25204042
S000001765	S000005246	1.43501501
S000005400	S000006247	1.49741064
S000004019	S000006000	1.13627391
S000001492	S000001732	1.13113118
S000000249	S000001505	1.34866127
S000002999	S000006000	1.61626156
S000003727	S000002879	1.10865592
S000003319	S000000036	1.16852266
S000000904	S000003266	1.61362025
S000005589	S000004284	1.17771144
S000004530	S000000399	1.19591031
S000005246	S000005487	1.76790342
S000005499	S000005802	1.21149735
S000005760	S000006336	1.52515974
S000003672	S000005400	1.36373906
S000005693	S000006002	1.12563347
S000001765	S000002879	1.3500394
S000003105	S000003170	1.12586179
S000003906	S000005839	1.5709468
S000006247	S000001639	1.35408901
S000004528	S000001639	1.22909013
S000006391	S000004325	1.23463477
S000003964	S000005591	1.24702747
S000000036	S000004332	1.17044644
S000006064	S000001639	1.16111267
S000000168	S000004332	1.21700062
S000005896	S000004440	1.24148142
S000000904	S000000385	1.48867003
S000000572	S000000635	1.16427976
S000004855	S000000780	1.60209687
S000000933	S000000188	1.1436439
S000004254	S000002471	1.23033877
S000005896	S000001314	1.59761471
S000005011	S000005487	1.33588061
S000005262	S000003434	1.11358389
S000001765	S000000876	1.80912607
S000001919	S000000595	1.22016184
S000005622	S000004051	1.56925509
S000001280	S000002240	1.5094719
S000004035	S000002525	1.36569248
S000004157	S000005896	1.25700108
S000004051	S000004332	1.36128129
S000003259	S000005839	1.36621037
S000001003	S000004187	1.18967167
S000006336	S000005011	1.54119841
S000000385	S000003906	1.66427799
S000003726	S000002156	1.24105371
S000003725	S000003266	1.33654797
S000000876	S000000385	1.69203833
S000002432	S000006052	1.17140297
S000004975	S000000098	1.43213578
S000001280	S000003317	1.43741081
S000005693	S000002156	1.12213919
S000003350	S000004336	1.12671919
S000004035	S000004603	1.14133601
S000002862	S000000630	1.1359199
S000005481	S000006000	1.67747329
S000006000	S000001052	1.14723671
S000006187	S000000451	1.17705171
S000001788	S000006025	1.12397422
S000004728	S000003380	1.13257091
S000001052	S000005480	1.28967691
S000001767	S000006052	1.27714364
S000005057	S000003999	1.25296823
S000004815	S000004595	1.28125596
S000005246	S000002790	1.41317562
S000004019	S000003115	1.5571949
S000001802	S000002998	1.25650289
S000003906	S000000235	1.14054644
S000004065	S000002288	1.12595294
S000001183	S000001052	1.43850113
S000003968	S000005106	1.35556639
S000001331	S000003091	1.24733425
S000005153	S000002219	1.28798529
S000003446	S000000235	1.38829002
S000001802	S000002219	1.23987559
S000001183	S000005487	1.493087
S000001664	S000003999	1.31463166
S000000876	S000001489	1.56494318
S000000123	S000005839	1.56770395
S000005708	S000003115	1.20889138
S000001802	S000003884	1.15032758
S000005399	S000002790	1.66400873
S000004380	S000001639	1.21763999
S000002998	S000003044	1.54882603
S000006011	S000000933	1.44958124
S000000003	S000004528	1.09993478
S000000123	S000003713	1.4554843
S000002977	S000005595	1.11372361
S000003884	S000005246	1.65097603
S000001331	S000002240	1.68029263
S000000010	S000004034	1.31168457
S000003436	S000003588	1.20908657
S000005693	S000001489	1.36404381
S000005589	S000006284	1.11515026
S000002977	S000005735	1.12391167
S000001401	S000002671	1.29950667
S000006306	S000003380	1.80603398
S000001061	S000000780	1.20262235
S000002998	S000002239	1.29068602
S000006002	S000003350	1.42133221
S000002908	S000001007	1.17589592
S000001714	S000003716	1.24601184
S000005246	S000006141	1.52736771
S000005262	S000001525	1.45595984
S000005693	S000005589	1.14465403
S000004952	S000005553	1.40171568
S000005106	S000003071	1.38464916
S000005958	S000005480	1.10777593
S000004359	S000002156	1.12262435
S000003044	S000004317	1.33139863
S000005192	S000005006	1.13171494
S000003259	S000000123	1.54556306
S000004175	S000002879	1.34186219
S000005106	S000001052	1.40623635
S000004065	S000000919	1.5214465
S000006391	S000005499	1.34867943
S000004239	S000003446	1.11047049
S000000876	S000001236	1.2758903
S000001052	S000002233	1.29008339
S000004856	S000002862	1.11785606
S000004019	S000004855	1.12476385
S000000168	S000004038	1.3717338
S000001007	S000005487	1.67063537
S000005481	S000005245	1.65559587
S000004051	S000005106	1.29898934
S000002661	S000005316	1.14479919
S000006002	S000005246	1.51569165
S000003071	S000006141	1.6053547
S000005013	S000005011	1.52794066
S000005011	S000004336	1.19980484
S000002977	S000003701	1.15892393
S000004065	S000002239	1.48386622
S000006336	S000003350	2.13233016
S000004019	S000003380	1.43896143
